Wave   ;IRR_bright_10cm
356.53000;0.00052
357.12000;0.00050
357.72000;0.00042
358.31000;0.00042
358.91000;0.00048
359.50000;0.00053
360.09000;0.00048
360.69000;0.00049
361.28000;0.00050
361.88000;0.00053
362.47000;0.00050
363.07000;0.00053
363.66000;0.00055
364.25000;0.00058
364.85000;0.00053
365.44000;0.00053
366.04000;0.00051
366.63000;0.00049
367.22000;0.00050
367.82000;0.00057
368.41000;0.00056
369.01000;0.00051
369.60000;0.00044
370.19000;0.00044
370.79000;0.00044
371.38000;0.00045
371.97000;0.00045
372.57000;0.00041
373.16000;0.00040
373.75000;0.00040
374.35000;0.00044
374.94000;0.00042
375.54000;0.00045
376.13000;0.00043
376.72000;0.00044
377.32000;0.00041
377.91000;0.00039
378.50000;0.00039
379.10000;0.00040
379.69000;0.00040
380.28000;0.00038
380.88000;0.00036
381.47000;0.00039
382.06000;0.00039
382.65000;0.00044
383.25000;0.00047
383.84000;0.00054
384.43000;0.00055
385.03000;0.00059
385.62000;0.00061
386.21000;0.00067
386.81000;0.00070
387.40000;0.00073
387.99000;0.00073
388.58000;0.00072
389.18000;0.00070
389.77000;0.00068
390.36000;0.00068
390.96000;0.00071
391.55000;0.00074
392.14000;0.00077
392.73000;0.00082
393.33000;0.00089
393.92000;0.00099
394.51000;0.00112
395.10000;0.00115
395.70000;0.00112
396.29000;0.00106
396.88000;0.00105
397.47000;0.00107
398.07000;0.00112
398.66000;0.00120
399.25000;0.00129
399.84000;0.00137
400.43000;0.00144
401.03000;0.00151
401.62000;0.00154
402.21000;0.00155
402.80000;0.00153
403.40000;0.00154
403.99000;0.00156
404.58000;0.00162
405.17000;0.00164
405.76000;0.00162
406.36000;0.00167
406.95000;0.00168
407.54000;0.00173
408.13000;0.00174
408.72000;0.00174
409.31000;0.00174
409.91000;0.00177
410.50000;0.00180
411.09000;0.00179
411.68000;0.00183
412.27000;0.00186
412.86000;0.00190
413.46000;0.00198
414.05000;0.00200
414.64000;0.00201
415.23000;0.00197
415.82000;0.00198
416.41000;0.00196
417.00000;0.00196
417.60000;0.00193
418.19000;0.00193
418.78000;0.00192
419.37000;0.00195
419.96000;0.00197
420.55000;0.00200
421.14000;0.00203
421.73000;0.00204
422.33000;0.00208
422.92000;0.00204
423.51000;0.00205
424.10000;0.00204
424.69000;0.00204
425.28000;0.00208
425.87000;0.00211
426.46000;0.00215
427.05000;0.00213
427.64000;0.00212
428.23000;0.00206
428.83000;0.00203
429.42000;0.00200
430.01000;0.00200
430.60000;0.00198
431.19000;0.00202
431.78000;0.00207
432.37000;0.00210
432.96000;0.00207
433.55000;0.00204
434.14000;0.00208
434.73000;0.00210
435.32000;0.00208
435.91000;0.00207
436.50000;0.00206
437.09000;0.00207
437.68000;0.00204
438.27000;0.00203
438.86000;0.00203
439.45000;0.00204
440.04000;0.00205
440.63000;0.00203
441.22000;0.00202
441.81000;0.00201
442.40000;0.00195
442.99000;0.00194
443.58000;0.00189
444.17000;0.00191
444.76000;0.00190
445.35000;0.00191
445.94000;0.00187
446.53000;0.00186
447.12000;0.00185
447.71000;0.00186
448.30000;0.00186
448.89000;0.00186
449.48000;0.00183
450.07000;0.00182
450.66000;0.00180
451.25000;0.00178
451.84000;0.00175
452.43000;0.00174
453.02000;0.00175
453.61000;0.00174
454.20000;0.00173
454.79000;0.00172
455.38000;0.00172
455.97000;0.00172
456.55000;0.00171
457.14000;0.00169
457.73000;0.00168
458.32000;0.00167
458.91000;0.00168
459.50000;0.00167
460.09000;0.00166
460.68000;0.00165
461.27000;0.00164
461.86000;0.00166
462.45000;0.00166
463.03000;0.00162
463.62000;0.00161
464.21000;0.00161
464.80000;0.00165
465.39000;0.00164
465.98000;0.00165
466.57000;0.00162
467.16000;0.00164
467.74000;0.00165
468.33000;0.00168
468.92000;0.00169
469.51000;0.00169
470.10000;0.00169
470.69000;0.00168
471.28000;0.00169
471.86000;0.00170
472.45000;0.00170
473.04000;0.00171
473.63000;0.00172
474.22000;0.00175
474.81000;0.00176
475.39000;0.00175
475.98000;0.00176
476.57000;0.00177
477.16000;0.00177
477.75000;0.00178
478.33000;0.00175
478.92000;0.00177
479.51000;0.00178
480.10000;0.00180
480.69000;0.00181
481.27000;0.00183
481.86000;0.00183
482.45000;0.00184
483.04000;0.00184
483.63000;0.00182
484.21000;0.00184
484.80000;0.00184
485.39000;0.00191
485.98000;0.00193
486.56000;0.00197
487.15000;0.00198
487.74000;0.00200
488.33000;0.00200
488.91000;0.00199
489.50000;0.00199
490.09000;0.00200
490.68000;0.00203
491.26000;0.00202
491.85000;0.00206
492.44000;0.00206
493.03000;0.00209
493.61000;0.00209
494.20000;0.00211
494.79000;0.00215
495.37000;0.00217
495.96000;0.00219
496.55000;0.00221
497.14000;0.00222
497.72000;0.00221
498.31000;0.00223
498.90000;0.00224
499.48000;0.00223
500.07000;0.00224
500.66000;0.00222
501.24000;0.00227
501.83000;0.00228
502.42000;0.00232
503.00000;0.00233
503.59000;0.00234
504.18000;0.00231
504.76000;0.00233
505.35000;0.00230
505.94000;0.00229
506.52000;0.00230
507.11000;0.00233
507.70000;0.00240
508.28000;0.00238
508.87000;0.00240
509.45000;0.00240
510.04000;0.00242
510.63000;0.00241
511.21000;0.00239
511.80000;0.00239
512.39000;0.00238
512.97000;0.00238
513.56000;0.00238
514.14000;0.00237
514.73000;0.00237
515.32000;0.00237
515.90000;0.00239
516.49000;0.00238
517.07000;0.00238
517.66000;0.00238
518.24000;0.00238
518.83000;0.00238
519.42000;0.00238
520.00000;0.00238
520.59000;0.00237
521.17000;0.00239
521.76000;0.00237
522.34000;0.00237
522.93000;0.00237
523.52000;0.00238
524.10000;0.00236
524.69000;0.00235
525.27000;0.00231
525.86000;0.00234
526.44000;0.00234
527.03000;0.00236
527.61000;0.00234
528.20000;0.00235
528.78000;0.00233
529.37000;0.00234
529.95000;0.00234
530.54000;0.00236
531.12000;0.00232
531.71000;0.00230
532.29000;0.00229
