"","u","s","m","l","u.r","s.r","m.r","l.r","x","y","z","h.theta","h.phi","r.vec","r.max","r.achieved","lum"
"M1_DF_DARK_007_K176700_P4",0.25894873446746,0.128279252837937,0.301066020611855,0.311705992082748,0.00894873446745959,-0.121720747162063,0.0510660206118548,0.0617059920827484,0.112325479083082,0.0573275496067711,0.00894873446745958,0.47190911498519,0.0708416121153098,0.12642602992948,0.259664093585362,0.486882988648251,0.00151579579779131
"M1_DF_DARK_012_K176784_P1",0.23372779469431,0.17911823314512,0.291304772398549,0.295849199762022,-0.0162722053056898,-0.0708817668548803,0.0413047723985485,0.0458491997620217,0.0714828263483168,0.0380572336293144,-0.0162722053056898,0.489227969112717,-0.198294540488053,0.0826010421227865,0.291333885242659,0.283527067419521,0.00389127463469015
"M1_DF_DARK_012_K176784_P2",0.158799976360653,0.0856076165169671,0.350187877861226,0.405404529261155,-0.0912000236393474,-0.164392383483033,0.100187877861226,0.155404529261155,0.195834814385154,0.0740212141626652,-0.0912000236393474,0.361378793273609,-0.410830837995303,0.228359057151671,0.347277429028883,0.657569533932131,0.0025826480740693
"M1_DF_DARK_012_K176784_P3",0.165966952401282,0.0708255228315423,0.364099629633913,0.399107895133263,-0.0840330475987183,-0.179174477168458,0.114099629633913,0.149107895133263,0.201031075922398,0.0913107638671077,-0.0840330475987183,0.426351254041655,-0.363662702433993,0.236247120984024,0.329632775713233,0.716697908673831,0.00302242873118663
"M1_DF_DARK_012_K176784_P4",0.221364573242181,0.123934678676498,0.309781774381124,0.344918973700197,-0.0286354267578187,-0.126065321323502,0.0597817743811238,0.094918973700197,0.135324690994181,0.0532839948630732,-0.0286354267578187,0.375106207601923,-0.19440546012321,0.148229362026695,0.293953484730183,0.504261285294009,0.00183199354791635
"M1_DF_DARK_012_K176785_P1",0.237415720616585,0.172728120706618,0.293791073078695,0.296065085598102,-0.0125842793834145,-0.0772718792933821,0.0437910730786947,0.0460650855981019,0.0755281576019248,0.0419982324498918,-0.0125842793834145,0.507484349981988,-0.14460191791849,0.0873310838548118,0.282544842488033,0.309087517173529,0.0035155215659748
"M1_DF_DARK_012_K176785_P2",0.183636310525472,0.0916645290834674,0.350368426700095,0.374330733690965,-0.0663636894745279,-0.158335470916533,0.100368426700095,0.124330733690965,0.173096992204379,0.0829936852789951,-0.066363689474528,0.447083825974007,-0.332845594004573,0.203112431394692,0.320699509432355,0.63334188366613,0.00379237233142396
"M1_DF_DARK_012_K176785_P3",0.149304338301169,0.0657233894105132,0.369684740088471,0.415287532199847,-0.100695661698831,-0.184276610589487,0.119684740088471,0.165287532199847,0.214063445551817,0.0913435443700061,-0.100695661698831,0.403320241319989,-0.408338637313728,0.253587101613146,0.344030505013551,0.737106442357947,0.00280425121815373
"M1_DF_DARK_012_K176785_P4",0.220119404224927,0.121466929833026,0.305809479932539,0.352604186009508,-0.029880595775073,-0.128533070166974,0.0558094799325393,0.102604186009508,0.141542084544835,0.0486305066229655,-0.0298805957750731,0.330940730297922,-0.197061108030308,0.15261696457333,0.296843770196784,0.514132280667898,0.0015771265122124
"M1_DF_DARK_012_K176786_P1",0.223461228241235,0.184485339188355,0.289513653710829,0.302539778859582,-0.0265387717587654,-0.0655146608116451,0.0395136537108287,0.0525397788595818,0.0722932847661714,0.0325276859950834,-0.0265387717587654,0.422804551774466,-0.323045377770163,0.0835983001318887,0.319006078548717,0.26205864324658,0.00403585172793727
"M1_DF_DARK_012_K176786_P2",0.190674791506374,0.110754500859634,0.335362262721689,0.363208444912303,-0.0593252084936261,-0.139245499140366,0.0853622627216891,0.113208444912303,0.154595836620543,0.0695657236313265,-0.0593252084936261,0.422841000675227,-0.336627019678626,0.179607190745715,0.322464984244595,0.556981996561464,0.00384022903740736
"M1_DF_DARK_012_K176786_P3",0.194443722057672,0.0907163215564975,0.348603678185423,0.366236278200407,-0.0555562779423281,-0.159283678443502,0.0986036781854235,0.116236278200407,0.168720826932831,0.0849428838070211,-0.0555562779423281,0.466405611776881,-0.286043586804647,0.196897209145169,0.309035443978348,0.63713471377401,0.00341016913631255
