"","u","s","m","l","lum"
"M2_BF_DARK_149_K176765_P2",0.00139601231825288,0.000628060132024233,0.00313481394236338,0.0035825401851281,0.00268576480382436
"M2_BF_DARK_149_K176765_P3",0.0012956536816782,0.000552124159208453,0.00275204491576048,0.00310822883156005,0.00233811185638329
"M2_BF_DARK_149_K176765_P4",0.00159165810786126,0.000777250539079755,0.00197191386230767,0.00208141129906766,0.00174058100079382
"M2_BF_DARK_152_K176810_P1",0.00241249666930197,0.00193597462675681,0.00345648476620035,0.00351518559632357,0.00313684812633637
"M2_BF_DARK_152_K176810_P2",0.00224438186238228,0.00115074189228572,0.00387475513916863,0.00407473145639337,0.00332384090640533
"M2_BF_DARK_152_K176810_P3",0.00125068334631919,0.000491900553945225,0.00263945551491976,0.00283425838849831,0.00220362412828207
"M2_BF_DARK_152_K176810_P4",0.00186459343413235,0.00111119504833587,0.00231466514068,0.00238439772787058,0.00206970672426557
"M2_BF_DARK_152_K176811_P1",0.00409274039996354,0.00337674747413803,0.00518965648851526,0.00521775394796719,0.00478418063143893
"M2_BF_DARK_152_K176811_P2",0.0023394622874588,0.00128572314014772,0.00437678615333306,0.00480539220525419,0.00380484277801581
"M2_BF_DARK_152_K176811_P3",0.00133122979306159,0.000600032691459318,0.00249045587509742,0.00270882449966739,0.00211574389965273
"M2_BF_DARK_152_K176811_P4",0.00187218365473473,0.00121454742758242,0.00239800185828998,0.00258082700457004,0.0021833792918613
"M2_BF_DARK_152_K176812_P1",0.00297784301016289,0.0023958213012094,0.00372922843463442,0.00369297935400692,0.00341854948681726
"M2_BF_DARK_152_K176812_P2",0.00263760402235114,0.00131517619993099,0.00491668843338983,0.00531159975288198,0.00421613812971996
"M2_BF_DARK_152_K176812_P3",0.00138182587870722,0.000643209511660048,0.00284500836833847,0.00314331090193153,0.00241581321935572
"M2_BF_DARK_152_K176812_P4",0.00174993685488336,0.00100824495392424,0.00231746754121961,0.00247208375180006,0.0020699907732249
"M2_BF_DARK_152_K176813_P1",0.00306300993131346,0.00251513758448632,0.0037700104523392,0.00368674569731023,0.00346245576524721
"M2_BF_DARK_152_K176813_P2",0.00231919363465913,0.00118043926119035,0.0045863330720811,0.00484706676529766,0.00389736058812033
"M2_BF_DARK_152_K176813_P3",0.00172515131845536,0.000711167396461435,0.00355823864602119,0.00368143621707196,0.00294853935383233
"M2_BF_DARK_152_K176813_P4",0.00183992984726996,0.00109396862651252,0.00238580601322891,0.0025077336139002,0.00213316627031527
"M2_BF_DARK_152_K176814_P1",0.0027647080041723,0.0022234744985998,0.00351917827986193,0.003474788061034,0.00321369557497367
"M2_BF_DARK_152_K176814_P2",0.00129189458959964,0.000624178956939028,0.00247670202937134,0.00279146127619553,0.00213771362979078
"M2_BF_DARK_152_K176814_P3",0.00166956926064096,0.000664871993211848,0.0033789570218814,0.00349325897962065,0.00279283137091815
"M2_BF_DARK_152_K176814_P4",0.00258748450832298,0.00172179077996973,0.00321345567900005,0.00334754144495286,0.00292120862033065
"M2_BF_DARK_152_K176815_P1",0.0028286170314597,0.00217983948906921,0.003567608515557,0.00351451725295124,0.003244041564124
"M2_BF_DARK_152_K176815_P2",0.00157239853086788,0.000613841773401808,0.003404823866925,0.00370336625828327,0.00284771553992594
"M2_BF_DARK_152_K176815_P3",0.00193251635367711,0.000849779239689614,0.00357905634943631,0.0037834638294073,0.00301510652241663
"M2_BF_DARK_152_K176815_P4",0.00200655480032314,0.00112210922117447,0.00241683689763922,0.00253167662546882,0.00216514274651437
"M2_BF_DARK_152_K176816_P1",0.00328961998657965,0.00268043437192269,0.00416655216099285,0.00417372621041809,0.00383400627319408
"M2_BF_DARK_152_K176816_P2",0.00148669440317237,0.00074669203412826,0.0031231412184467,0.00354422790452023,0.00268864962787461
"M2_BF_DARK_152_K176816_P3",0.00124047921465304,0.000443132543046868,0.00299308211151557,0.00321468833700414,0.00246474810601176
"M2_BF_DARK_152_K176816_P4",0.00223410521724117,0.00130014816005305,0.00284090102947741,0.00286521693970742,0.00251009613187349
