wave;IRR_dark_10cm
445.35;0.00028
445.94;0.00028
446.53;0.00027
447.12;0.00028
447.71;0.00026
448.3;0.00027
448.89;0.00026
449.48;0.00027
450.07;0.00027
450.66;0.00027
451.25;0.00027
451.84;0.00027
452.43;0.00026
453.02;0.00026
453.61;0.00026
454.2;0.00027
454.79;0.00027
455.38;0.00027
455.97;0.00026
456.55;0.00027
457.14;0.00027
457.73;0.00027
458.32;0.00028
458.91;0.00027
459.5;0.00026
460.09;0.00026
460.68;0.00026
461.27;0.00027
461.86;0.00026
462.45;0.00026
463.03;0.00028
463.62;0.00029
464.21;0.00030
464.8;0.00027
465.39;0.00027
465.98;0.00026
466.57;0.00028
467.16;0.00027
467.74;0.00027
468.33;0.00025
468.92;0.00025
469.51;0.00025
470.1;0.00027
470.69;0.00027
471.28;0.00027
471.86;0.00026
472.45;0.00027
473.04;0.00028
473.63;0.00027
474.22;0.00027
474.81;0.00026
475.39;0.00027
475.98;0.00027
476.57;0.00026
477.16;0.00027
477.75;0.00027
478.33;0.00029
478.92;0.00029
479.51;0.00029
480.1;0.00028
480.69;0.00028
481.27;0.00028
481.86;0.00028
482.45;0.00029
483.04;0.00029
483.63;0.00032
484.21;0.00031
484.8;0.00032
485.39;0.00028
485.98;0.00027
486.56;0.00026
487.15;0.00026
487.74;0.00027
488.33;0.00027
488.91;0.00029
489.5;0.00030
490.09;0.00032
490.68;0.00031
491.26;0.00031
491.85;0.00030
492.44;0.00031
493.03;0.00031
493.61;0.00032
494.2;0.00031
494.79;0.00029
495.37;0.00029
495.96;0.00028
496.55;0.00029
497.14;0.00029
497.72;0.00030
498.31;0.00029
498.9;0.00029
499.48;0.00031
500.07;0.00031
500.66;0.00032
501.24;0.00030
501.83;0.00030
502.42;0.00028
503;0.00029
503.59;0.00029
504.18;0.00032
504.76;0.00033
505.35;0.00035
505.94;0.00037
506.52;0.00036
507.11;0.00035
507.7;0.00031
508.28;0.00033
508.87;0.00033
509.45;0.00033
510.04;0.00032
510.63;0.00033
511.21;0.00034
511.8;0.00034
512.39;0.00034
512.97;0.00033
513.56;0.00033
514.14;0.00035
514.73;0.00035
515.32;0.00034
515.9;0.00032
516.49;0.00032
517.07;0.00033
517.66;0.00034
518.24;0.00034
518.83;0.00034
519.42;0.00035
520;0.00036
520.59;0.00037
521.17;0.00037
521.76;0.00038
522.34;0.00038
522.93;0.00038
523.52;0.00038
524.1;0.00040
524.69;0.00040
525.27;0.00041
525.86;0.00039
526.44;0.00039
527.03;0.00038
527.61;0.00040
528.2;0.00041
528.78;0.00042
529.37;0.00042
529.95;0.00042
530.54;0.00041
531.12;0.00043
531.71;0.00042
532.29;0.00043
532.88;0.00041
533.46;0.00043
534.05;0.00044
534.63;0.00044
535.22;0.00045
535.8;0.00043
536.39;0.00043
536.97;0.00043
537.56;0.00046
538.14;0.00047
538.73;0.00047
539.31;0.00044
539.89;0.00043
540.48;0.00042
541.06;0.00043
541.65;0.00044
542.23;0.00045
542.82;0.00045
543.4;0.00048
543.99;0.00048
544.57;0.00048
545.15;0.00045
545.74;0.00046
546.32;0.00046
546.91;0.00048
547.49;0.00048
548.07;0.00048
548.66;0.00046
549.24;0.00048
549.83;0.00048
550.41;0.00048
550.99;0.00046
551.58;0.00048
552.16;0.00051
552.75;0.00051
553.33;0.00048
553.91;0.00048
554.5;0.00049
555.08;0.00050
555.66;0.00048
556.25;0.00047
556.83;0.00045
557.41;0.00047
558;0.00047
558.58;0.00047
559.16;0.00045
559.75;0.00046
560.33;0.00049
560.91;0.00048
561.5;0.00047
562.08;0.00045
562.66;0.00046
563.25;0.00046
563.83;0.00046
564.41;0.00046
565;0.00046
565.58;0.00048
566.16;0.00046
566.74;0.00046
567.33;0.00045
567.91;0.00045
568.49;0.00047
569.08;0.00047
569.66;0.00046
570.24;0.00045
570.82;0.00046
571.41;0.00045
571.99;0.00045
572.57;0.00045
573.15;0.00046
573.74;0.00046
574.32;0.00047
574.9;0.00046
575.48;0.00045
576.07;0.00044
576.65;0.00045
577.23;0.00045
577.81;0.00045
578.4;0.00046
578.98;0.00046
579.56;0.00048
580.14;0.00046
580.72;0.00046
581.31;0.00047
581.89;0.00046
582.47;0.00047
583.05;0.00045
583.63;0.00046
584.22;0.00045
584.8;0.00046
585.38;0.00045
585.96;0.00047
586.54;0.00050
587.12;0.00050
587.71;0.00050
588.29;0.00046
588.87;0.00046
589.45;0.00044
590.03;0.00045
590.61;0.00045
591.19;0.00045
591.78;0.00044
592.36;0.00044
592.94;0.00045
593.52;0.00048
594.1;0.00049
594.68;0.00048
595.26;0.00045
595.84;0.00046
596.43;0.00046
597.01;0.00047
597.59;0.00048
598.17;0.00048
598.75;0.00050
599.33;0.00049
599.91;0.00054
600.49;0.00052
601.07;0.00051
601.65;0.00049
602.23;0.00048
602.81;0.00049
603.4;0.00048
603.98;0.00048
604.56;0.00049
605.14;0.00050
605.72;0.00050
606.3;0.00048
606.88;0.00049
607.46;0.00049
608.04;0.00050
608.62;0.00048
609.2;0.00049
609.78;0.00049
610.36;0.00049
610.94;0.00050
611.52;0.00051
612.1;0.00050
612.68;0.00050
613.26;0.00049
613.84;0.00050
614.42;0.00048
615;0.00049
615.58;0.00049
616.16;0.00049
616.74;0.00049
